DATE,CLOSE
6/30/2017,53.81
7/3/2017,54.28
7/5/2017,54.1
7/6/2017,53.86
7/7/2017,54.14
7/10/2017,54.48
7/11/2017,54.4
7/12/2017,55.03
7/13/2017,54.97
7/14/2017,55.25
7/17/2017,55.36
7/18/2017,55.13
7/19/2017,55.66
7/20/2017,55.25
7/21/2017,55.26
7/24/2017,55.21
7/25/2017,55.8
7/26/2017,55.46
7/27/2017,55.26
7/28/2017,55.06
7/31/2017,54.64
8/1/2017,54.68
8/2/2017,54.73
8/3/2017,54.32
8/4/2017,54.58
8/7/2017,54.61
8/8/2017,54.18
8/9/2017,54.23
8/10/2017,53.61
8/11/2017,53.48
8/14/2017,53.98
8/15/2017,53.99
8/16/2017,54.52
8/17/2017,53.69
8/18/2017,53.71
8/21/2017,53.76
8/22/2017,54.46
8/23/2017,54.36
8/24/2017,54.26
8/25/2017,54.43
8/28/2017,54.51
8/29/2017,54.25
8/30/2017,54.65
8/31/2017,55.07
9/1/2017,55.43
9/5/2017,54.8
9/6/2017,54.94
9/7/2017,55.03
9/8/2017,55.01
9/11/2017,55.73
9/12/2017,56.2
9/13/2017,56.18
9/14/2017,56.37
9/15/2017,56.07
9/18/2017,56.38
9/19/2017,56.67
9/20/2017,56.87
9/21/2017,56.75
9/22/2017,56.55
9/25/2017,56.65
9/26/2017,56.4
9/27/2017,56.4
9/28/2017,56.8
9/29/2017,56.8
10/2/2017,57.42
10/3/2017,57.66
10/4/2017,57.68
10/5/2017,58.03
10/6/2017,57.9
10/9/2017,57.89
10/10/2017,57.93
10/11/2017,57.96
10/12/2017,58.07
10/13/2017,58.35
10/16/2017,58.31
10/17/2017,58.16
10/18/2017,58.02
10/19/2017,58.24
10/20/2017,58.74
10/23/2017,58.63
10/24/2017,58.96
10/25/2017,58.65
10/26/2017,59.43
10/27/2017,59.12
10/30/2017,58.84
10/31/2017,59
11/1/2017,59.29
11/2/2017,58.86
11/3/2017,58.83
11/6/2017,58.58
11/7/2017,58.64
11/8/2017,58.7
11/9/2017,58.2
11/10/2017,58.11
11/13/2017,58.41
11/14/2017,57.88
11/15/2017,57.53
11/16/2017,58.23
11/17/2017,58.31
11/20/2017,58.39
11/21/2017,58.7
11/22/2017,58.54
11/24/2017,58.84
11/27/2017,58.49
11/28/2017,59.14
11/29/2017,59.23
11/30/2017,59.56
12/1/2017,59.07
12/4/2017,59.68
12/5/2017,59.38
12/6/2017,59.03
12/7/2017,59.43
12/8/2017,59.43
12/11/2017,59.51
12/12/2017,59.52
12/13/2017,59.68
12/14/2017,59.02
12/15/2017,59.08
12/18/2017,59.95
12/19/2017,59.88
12/20/2017,59.9
12/21/2017,60.11
12/22/2017,60.34
12/26/2017,60.29
12/27/2017,60.37
12/28/2017,60.64
12/29/2017,60.53
1/2/2018,61.39
1/3/2018,61.82
1/4/2018,62.36
1/5/2018,62.86
1/8/2018,62.95
1/9/2018,62.85
1/10/2018,62.47
1/11/2018,63.29
1/12/2018,63.39
1/16/2018,62.65
1/17/2018,62.94
1/18/2018,62.9
1/19/2018,63.28
1/22/2018,63.13
1/23/2018,63.12
1/24/2018,63.39
1/25/2018,63.81
1/26/2018,64.09
1/29/2018,63.36
1/30/2018,62.9
1/31/2018,62.95
2/1/2018,62.09
2/2/2018,60.46
2/5/2018,58.15
2/6/2018,60.05
2/7/2018,59.51
2/8/2018,57.42
2/9/2018,58.42
2/12/2018,59.6
2/13/2018,59.45
2/14/2018,60.25
2/15/2018,60.7
2/16/2018,60.48
2/20/2018,60.21
2/21/2018,60
2/22/2018,60.4
2/23/2018,61.29
2/26/2018,61.56
2/27/2018,60.71
2/28/2018,59.63
3/1/2018,59.02
3/2/2018,58.96
3/5/2018,59.74
3/6/2018,60.4
3/7/2018,60.18
3/8/2018,60.23
3/9/2018,61.32
3/12/2018,61.17
3/13/2018,60.92
3/14/2018,60.17
3/15/2018,59.38
3/16/2018,59.15
3/19/2018,58.3
3/20/2018,58.24
3/21/2018,58.9
3/22/2018,57.14
3/23/2018,56.02
3/26/2018,57.17
3/27/2018,56.59
3/28/2018,55.87
3/29/2018,56.94
4/2/2018,55.7
4/3/2018,56.49
4/4/2018,56.86
4/5/2018,57.92
4/6/2018,56.51
4/9/2018,56.82
4/10/2018,57.99
4/11/2018,57.56
4/12/2018,58.17
4/13/2018,58.11
4/16/2018,58.89
4/17/2018,59.56
4/18/2018,59.99
4/19/2018,59.32
4/20/2018,59
4/23/2018,58.83
4/24/2018,57.24
4/25/2018,57.55
4/26/2018,57.91
4/27/2018,57.76
4/30/2018,57.01
5/1/2018,56.96
